netflix_condense table contents

title;type;listed_in;rating;country;date_added;release_year;duration
"Big Mouth";"TV Show";"TV Comedies";TV-MA;"United States";4-Dec-20;2020;"4 Seasons"
"Captain Underpants Mega Blissmas";Movie;"Children & Family Movies, Comedies";TV-Y7;"United States";4-Dec-20;2020;"46 min"
MANK;Movie;"Dramas, Independent Movies";R;"United States";4-Dec-20;2020;"133 min"
"You Are My Home";Movie;"Children & Family Movies, Dramas";TV-PG;"United States";4-Dec-20;2020;"93 min"
"Dear White People";"TV Show";"TV Comedies, TV Dramas";TV-MA;"United States";22-Sep-21;2021;"4 Seasons"
"Major Dad";"TV Show";"TV Comedies";TV-PG;"United States";1-Sep-21;1992;"4 Seasons"
"Angela's Christmas Wish";Movie;"Children & Family Movies";TV-Y;"United States";1-Dec-20;2020;"48 min"
"Are You The One";"TV Show";"Reality TV";TV-14;"United States";1-Dec-20;2014;"2 Seasons"
Chef;Movie;"Comedies, Independent Movies";R;"United States";1-Dec-20;2014;"115 min"
"Ink Master";"TV Show";"Reality TV";TV-14;"United States";1-Dec-20;2012;"2 Seasons"
"Monster House";Movie;"Children & Family Movies, Comedies";PG;"United States";1-Dec-20;2006;"91 min"
"Natalie Palamides: Nate - A One Man Show";Movie;Comedies;TV-MA;"United States";1-Dec-20;2020;"60 min"
"Mars Attacks!";Movie;"Comedies, Cult Movies, Sci-Fi & Fantasy";PG-13;"United States";1-Sep-21;1996;"106 min"
"The Bachelorette";"TV Show";"Reality TV, Romantic TV Shows";TV-14;"United States";1-Dec-20;2010;"1 Season"
"The Holiday Movies That Made Us";"TV Show";Docuseries;TV-PG;"United States";1-Dec-20;2020;"1 Season"
"Rust Creek";Movie;Thrillers;R;"United States";30-Nov-20;2018;"108 min"
"Spookley and the Christmas Kittens";Movie;"Children & Family Movies";TV-Y;"United States";30-Nov-20;2019;"45 min"
"The 2nd";Movie;"Action & Adventure";TV-MA;"United States";30-Nov-20;2020;"93 min"
"A Go! Go! Cory Carson Christmas";Movie;"Children & Family Movies";TV-Y;"United States";27-Nov-20;2020;"22 min"
"Dance Dreams: Hot Chocolate Nutcracker";Movie;"Children & Family Movies, Documentaries";TV-PG;"United States";27-Nov-20;2020;"81 min"
"My Boss's Daughter";Movie;"Comedies, Romantic Movies";R;"United States";1-Sep-21;2003;"86 min"
"Sugar Rush Christmas";"TV Show";"Reality TV";TV-14;"United States";27-Nov-20;2020;"2 Seasons"
"Larry the Cable Guy: Remain Seated";Movie;"Stand-Up Comedy";TV-14;"United States";26-Nov-20;2020;"68 min"
Mosul;Movie;"Action & Adventure, Dramas, International Movies";TV-MA;"United States";26-Nov-20;2020;"103 min"
"Mystery Men";Movie;"Action & Adventure, Comedies";PG-13;"United States";1-Sep-21;1999;"121 min"
"Dragons: Rescue Riders: Huttsgalor Holiday";Movie;"Children & Family Movies, Comedies";TV-Y;"United States";24-Nov-20;2020;"46 min"
"Hillbilly Elegy";Movie;Dramas;R;"United States";24-Nov-20;2020;"117 min"
"Hard Kill";Movie;"Action & Adventure";R;"United States";23-Nov-20;2020;"98 min"
"Shawn Mendes: In Wonder";Movie;"Documentaries, Music & Musicals";TV-MA;"United States";23-Nov-20;2020;"83 min"
"Dolly Parton?s Christmas on the Square";Movie;"Children & Family Movies, Music & Musicals";TV-PG;"United States";22-Nov-20;2020;"99 min"
