netflix_condense table contents

title;type;listed_in;rating;country;date_added;release_year;duration
"Crack: Cocaine, Corruption & Conspiracy";Movie;Documentaries;TV-MA;"United States";11-Jan-21;2021;"90 min"
"Creating The Queen's Gambit";Movie;Documentaries;TV-14;"United States";8-Jan-21;2021;"14 min"
"Pretend It?s a City";"TV Show";Docuseries;TV-14;"United States";8-Jan-21;2021;"1 Season"
"Surviving Death";"TV Show";"Docuseries, Reality TV";TV-MA;"United States";6-Jan-21;2021;"1 Season"
"Green Lantern";Movie;"Action & Adventure, Sci-Fi & Fantasy";PG-13;"United States";1-Sep-21;2011;"114 min"
"History of Swear Words";"TV Show";"Docuseries, TV Comedies";TV-MA;"United States";5-Jan-21;2021;"1 Season"
"QB1: Beyond the Lights";"TV Show";Docuseries;TV-14;"United States";4-Jan-21;2019;"1 Season"
"Playing for Keeps";Movie;"Comedies, Romantic Movies, Sports Movies";PG-13;"United States";3-Jan-21;2012;"106 min"
"Bad Grandpa .5";Movie;Comedies;TV-MA;"United States";1-Jan-21;2014;"87 min"
"Cobra Kai";"TV Show";"TV Action & Adventure, TV Comedies, TV Dramas";TV-14;"United States";1-Jan-21;2021;"3 Seasons"
"House Party";Movie;"Comedies, Cult Movies";R;"United States";1-Sep-21;1990;"104 min"
"Dream Home Makeover";"TV Show";"Reality TV";TV-G;"United States";1-Jan-21;2021;"2 Seasons"
"Eddie Murphy: Raw";Movie;"Stand-Up Comedy";R;"United States";1-Jan-21;1987;"90 min"
"Full Out 2: You Got This!";Movie;"Children & Family Movies, Dramas, Sports Movies";TV-Y;"United States";1-Jan-21;2020;"91 min"
"Gimme Shelter";Movie;"Dramas, Independent Movies";PG-13;"United States";1-Jan-21;2013;"101 min"
"Good Burger";Movie;"Children & Family Movies, Comedies";PG;"United States";1-Jan-21;1997;"96 min"
"Good Hair";Movie;Documentaries;PG-13;"United States";1-Jan-21;2009;"96 min"
"Headspace Guide to Meditation";"TV Show";"Docuseries, Science & Nature TV";TV-G;"United States";1-Jan-21;2021;"1 Season"
"Into the Wild";Movie;"Action & Adventure, Dramas, Independent Movies";R;"United States";1-Jan-21;2007;"148 min"
"Jenni Rivera: Mariposa de Barrio";"TV Show";"Spanish-Language TV Shows, TV Dramas";TV-MA;"United States";1-Jan-21;2017;"1 Season"
"House Party 2";Movie;"Comedies, Cult Movies, Music & Musicals";R;"United States";1-Sep-21;1991;"94 min"
"Mean Girls 2";Movie;Comedies;PG-13;"United States";1-Jan-21;2011;"98 min"
"Mystic Pizza";Movie;"Comedies, Dramas, Independent Movies";R;"United States";1-Jan-21;1988;"104 min"
"The Creative Brain";Movie;Documentaries;TV-14;"United States";1-Jan-21;2019;"53 min"
"The Haunted Hathaways";"TV Show";"Kids' TV, TV Comedies, TV Sci-Fi & Fantasy";TV-G;"United States";1-Jan-21;2013;"2 Seasons"
"The Minimalists: Less Is Now";Movie;Documentaries;TV-14;"United States";1-Jan-21;2021;"54 min"
"House Party 3";Movie;"Comedies, Music & Musicals";R;"United States";1-Sep-21;1994;"94 min"
"What's Eating Gilbert Grape";Movie;"Classic Movies, Dramas, Independent Movies";PG-13;"United States";1-Jan-21;1993;"118 min"
"Alaska Is a Drag";Movie;"Dramas, LGBTQ Movies";TV-MA;"United States";31-Dec-20;2017;"83 min"
"Chilling Adventures of Sabrina";"TV Show";"TV Horror, TV Mysteries, TV Sci-Fi & Fantasy";TV-14;"United States";31-Dec-20;2020;"4 Seasons"
"Best Leftovers Ever!";"TV Show";"Reality TV";TV-G;"United States";30-Dec-20;2020;"1 Season"
"Dare Me";"TV Show";"Crime TV Shows, TV Dramas, TV Thrillers";TV-MA;"United States";30-Dec-20;2019;"1 Season"
"Cops and Robbers";Movie;Dramas;PG-13;"United States";28-Dec-20;2020;"8 min"
"Death to 2020";Movie;Comedies;TV-MA;"United States";27-Dec-20;2020;"71 min"
Bridgerton;"TV Show";"Romantic TV Shows, TV Dramas";TV-MA;"United States";25-Dec-20;2020;"1 Season"
"We Can Be Heroes";Movie;"Children & Family Movies, Comedies";PG;"United States";25-Dec-20;2020;"101 min"
"The History of Future Folk";Movie;"Action & Adventure, Comedies, Independent Movies";TV-14;"United States";23-Dec-20;2012;"85 min"
"I Got the Hook Up";Movie;"Action & Adventure, Comedies";R;"United States";1-Sep-21;1998;"93 min"
"The Midnight Sky";Movie;Dramas;PG-13;"United States";23-Dec-20;2020;"119 min"
"After We Collided";Movie;"Dramas, Romantic Movies";R;"United States";22-Dec-20;2020;"105 min"
"London Hughes: To Catch a D*ck";Movie;"Stand-Up Comedy";TV-MA;"United States";22-Dec-20;2020;"68 min"
"Rhyme Time Town Singalongs";"TV Show";"Kids' TV";TV-Y;"United States";22-Dec-20;2020;"1 Season"
"In Too Deep";Movie;Thrillers;R;"United States";1-Sep-21;1999;"97 min"
"Ariana grande: excuse me, i love you";Movie;"Documentaries, Music & Musicals";TV-MA;"United States";21-Dec-20;2020;"98 min"
"Atlas Shrugged: Part II";Movie;Dramas;PG-13;"United States";19-Dec-20;2012;"112 min"
"Guest House";Movie;Comedies;R;"United States";18-Dec-20;2020;"84 min"
"Ma Rainey's Black Bottom";Movie;"Dramas, Music & Musicals";R;"United States";18-Dec-20;2020;"94 min"
"Janoskians: Untold and Untrue";Movie;Comedies;TV-MA;"United States";1-Sep-21;2016;"88 min"
"Schulz Saves America";"TV Show";"Stand-Up Comedy & Talk Shows, TV Comedies";TV-MA;"United States";17-Dec-20;2020;"1 Season"
Incarnate;Movie;"Horror Movies, Thrillers";PG-13;"United States";16-Dec-20;2016;"87 min"
"Lee Daniels' The Butler";Movie;Dramas;PG-13;"United States";16-Dec-20;2013;"132 min"
"Nocturnal Animals";Movie;"Dramas, Thrillers";R;"United States";16-Dec-20;2016;"117 min"
"Black Ink Crew New York";"TV Show";"Reality TV";TV-14;"United States";15-Dec-20;2014;"2 Seasons"
"Pup Academy";"TV Show";"Kids' TV, TV Comedies";TV-Y;"United States";15-Dec-20;2020;"2 Seasons"
"Song Exploder";"TV Show";Docuseries;TV-MA;"United States";15-Dec-20;2020;"2 Seasons"
"Teen Mom 2";"TV Show";"Reality TV";TV-14;"United States";15-Dec-20;2011;"2 Seasons"
"A California Christmas";Movie;"Comedies, Romantic Movies";PG-13;"United States";14-Dec-20;2020;"107 min"
"Tiny Pretty Things";"TV Show";"TV Dramas, TV Mysteries, TV Thrillers";TV-MA;"United States";14-Dec-20;2020;"1 Season"
"The Netflix Afterparty: The Best Shows of The Worst Year";Movie;Comedies;TV-MA;"United States";13-Dec-20;2020;"59 min"
Canvas;Movie;"Children & Family Movies, Dramas";G;"United States";11-Dec-20;2020;"9 min"
"Giving Voice";Movie;Documentaries;PG-13;"United States";11-Dec-20;2020;"91 min"
"The Prom";Movie;"Comedies, LGBTQ Movies, Music & Musicals";PG-13;"United States";11-Dec-20;2020;"132 min"
"Letters to Juliet";Movie;"Comedies, Dramas, Romantic Movies";PG;"United States";1-Sep-21;2010;"105 min"
"The Big Show Show";"TV Show";"Kids' TV, TV Comedies";TV-G;"United States";9-Dec-20;2020;"2 Seasons"
"The Expanding Universe of Ashley Garcia";"TV Show";"Kids' TV, TV Comedies, Teen TV Shows";TV-PG;"United States";9-Dec-20;2020;"3 Seasons"
"The Surgeon's Cut";"TV Show";"Docuseries, Science & Nature TV";TV-14;"United States";9-Dec-20;2020;"1 Season"
"Bobbleheads The Movie";Movie;"Children & Family Movies, Comedies";PG;"United States";8-Dec-20;2020;"83 min"
"Mr. Iglesias";"TV Show";"TV Comedies, Teen TV Shows";TV-14;"United States";8-Dec-20;2020;"3 Seasons"
"Spirit Riding Free: Ride Along Adventure";Movie;"Children & Family Movies";TV-Y7;"United States";8-Dec-20;2020;"79 min"
"Triple 9";Movie;"Dramas, Thrillers";R;"United States";8-Dec-20;2016;"115 min"
Ava;Movie;"Action & Adventure, Dramas";R;"United States";7-Dec-20;2020;"97 min"
"Love Don't Cost a Thing";Movie;"Comedies, Romantic Movies";PG-13;"United States";1-Sep-21;2003;"101 min"
